word,x,y,cluster
誕生日,-11.759476,6.1282797,1
読む,1.1671115,11.537628,6
警官,3.2910047,5.636522,-1
豚肉,5.0258827,10.17335,-1
財布,7.5308533,12.537321,13
買い物,6.9952207,12.584342,12
買う,7.0642047,12.577218,12
貸す,-0.7349064,-1.8956327,-1
貼る,1.3087872,11.015872,6
質問,-4.147782,10.820832,4
赤,-3.081092,-5.2393794,15
赤い,-2.9994528,-5.209987,15
走る,3.0753055,-1.8066546,9
起きる,2.619332,-1.4718219,9
車,1.7726437,14.852341,5
軽い,-1.3271497,0.28770185,19
辛い,3.7922564,4.5709877,18
辞書,0.9678942,11.294172,6
辺,6.236709,11.390609,-1
近い,-11.734574,6.016673,1
近く,-11.74235,6.0067706,1
返す,-0.7353904,-2.09493,16
速い,-9.05597,3.426402,7
遅い,-1.3923846,0.36487436,19
遊ぶ,8.296899,12.348626,13
道,3.2194128,-1.955373,9
違う,3.7937672,4.507626,18
遠い,-1.3245695,0.42496806,19
部屋,-4.5012894,10.314732,4
郵便局,7.6574564,12.529228,13
醤油,8.443173,12.340532,-1
重い,-9.322894,3.3916981,7
野菜,6.415745,13.474865,12
金曜日,0.18076953,-9.772638,14
鉛筆,1.3159462,10.975448,6
銀行,6.5611806,11.909945,-1
鍵,3.2749507,5.632935,-1
長い,-9.274501,3.4364326,7
門,0.081284404,9.038737,-1
閉まる,-0.9456412,-0.6699971,19
閉める,-0.8954523,-0.77067083,19
開く,-8.8048315,4.0759516,-1
開ける,2.5349488,-1.3920555,-1
降りる,-0.91105944,-2.528268,-1
降る,-0.92738044,-2.5934358,-1
階段,0.41309416,9.850299,-1
隣,6.0269594,11.301825,-1
雑誌,0.66226184,11.247586,6
難しい,3.774603,4.5872126,18
雨,8.189187,-4.4084444,3
雪,8.181379,-4.3482866,3
零,-0.9897594,-0.63408047,19
電気,1.874186,14.798964,5
電話,1.8016864,14.847503,5
電車,1.7584227,14.909593,5
青,8.305199,-3.8019764,3
青い,8.263881,-3.7375023,3
面白い,8.32356,-3.9086072,3
靴,-2.9481266,-5.743994,15
靴下,-1.0523185,-2.848965,-1
音楽,-11.671203,5.3992457,1
頭,0.16667709,9.177168,6
頼む,6.3852415,11.717113,-1
顔,0.22226217,9.251312,6
風,3.4771495,5.1553965,-1
風邪,3.5164812,5.072133,-1
飛ぶ,8.68413,12.235672,13
飛行機,8.634474,12.252377,13
食べる,7.0813084,12.536339,12
食べ物,7.1047096,12.584711,12
食堂,7.071448,12.54874,12
飲み物,17.90415,0.1270856,0
飲む,17.772411,0.25854862,0
飴,3.6099815,17.909657,10
駅,9.544949,12.53191,-1
高い,-9.187489,3.4829257,7
魚,17.900053,0.13132973,0
鳥,3.3206327,18.239922,10
鳴く,-4.0765996,7.011171,8
鶏肉,5.0057645,10.153942,-1
黄色,-3.1005316,-5.2594137,15
黄色い,-3.0058663,-5.332822,15
黒,-2.9158797,-6.1613517,15
黒い,-2.8872635,-6.2154613,15
鼻,0.23369014,9.22315,6
